"id","from_device","voltage","current","power","energy","cost","timestamp"
"1","1","226","0.06","9","0.28","1.26","2025-08-02 06:19:01"
"2","1","226","0.06","9","0.28","1.26","2025-08-02 06:20:05"
"3","1","226","0.06","9","0.28","1.26","2025-08-02 06:21:03"
"4","1","226","0.06","9","0.28","1.26","2025-08-02 06:21:33"
"5","1","223","0.07","10","0.47","2.12","2025-08-02 18:35:15"
"6","1","223","0.06","10","0.47","2.12","2025-08-02 18:35:45"
"7","1","223","0.07","10","0.47","2.12","2025-08-02 18:36:15"
"8","1","223","0.06","9","0.47","2.12","2025-08-02 18:36:45"
"9","1","223","0.07","10","0.47","2.12","2025-08-02 18:37:45"
"10","1","223","0.07","10","0.47","2.12","2025-08-02 18:38:15"
"11","1","222","0.06","9","0.47","2.12","2025-08-02 18:38:45"
"12","1","222","0.07","10","0.47","2.12","2025-08-02 18:39:15"
"13","1","223","0.06","10","0.47","2.12","2025-08-02 18:39:45"
"14","1","222","0.06","10","0.47","2.12","2025-08-02 18:40:15"
"15","1","222","0.07","10","0.47","2.12","2025-08-02 18:40:45"
"16","1","222","0.06","9","0.47","2.12","2025-08-02 18:41:15"
"17","1","222","0.06","9","0.47","2.12","2025-08-02 18:42:15"
"18","1","222","0.06","9","0.47","2.12","2025-08-02 18:42:45"
"19","1","223","0.06","10","0.47","2.12","2025-08-02 18:43:15"
"20","1","223","0.07","10","0.47","2.12","2025-08-02 18:43:45"
"21","1","223","0.07","10","0.47","2.12","2025-08-02 18:44:15"
"22","1","223","0.07","10","0.47","2.12","2025-08-02 18:44:45"
"23","1","223","0.06","10","0.47","2.12","2025-08-02 18:45:15"
"24","1","223","0.07","10","0.47","2.12","2025-08-02 18:45:45"
"25","1","223","0.07","10","0.47","2.12","2025-08-02 18:46:15"
"26","1","223","0.06","10","0.47","2.12","2025-08-02 18:47:15"
"27","1","223","0.06","9","0.47","2.12","2025-08-02 18:47:45"
"28","1","223","0.07","10","0.47","2.12","2025-08-02 18:48:15"
"29","1","223","0.06","10","0.47","2.12","2025-08-02 18:48:45"
"30","1","223","0.07","10","0.47","2.12","2025-08-02 18:49:15"
"31","1","223","0.06","10","0.47","2.12","2025-08-02 18:49:45"
"32","1","223","0.06","10","0.47","2.12","2025-08-02 18:50:15"
"33","1","223","0.06","9","0.47","2.12","2025-08-02 18:50:45"
"34","1","223","0.06","10","0.47","2.12","2025-08-02 18:51:15"
"35","1","222","0.06","10","0.47","2.12","2025-08-02 18:52:15"
"36","1","223","0.07","10","0.47","2.12","2025-08-02 18:52:45"
"37","1","223","0.06","10","0.47","2.12","2025-08-02 18:53:15"
"38","1","223","0.06","10","0.47","2.12","2025-08-02 18:53:45"
"39","1","223","0.06","9","0.47","2.13","2025-08-02 18:54:15"
"40","1","223","0.06","10","0.47","2.13","2025-08-02 18:54:45"
"41","1","223","0.06","10","0.47","2.13","2025-08-02 18:55:15"
"42","1","223","0.06","9","0.47","2.13","2025-08-02 18:55:45"
"43","1","223","0.06","9","0.47","2.13","2025-08-02 18:56:45"
"44","1","223","0.06","9","0.47","2.13","2025-08-02 18:57:15"
"45","1","223","0.06","9","0.47","2.13","2025-08-02 18:57:45"
"46","1","223","0.06","10","0.47","2.13","2025-08-02 18:58:15"
"47","1","223","0.06","10","0.47","2.13","2025-08-02 18:58:45"
"48","1","223","0.06","9","0.47","2.13","2025-08-02 18:59:15"
"49","1","223","0.06","10","0.47","2.13","2025-08-02 18:59:45"
"50","1","223","0.06","9","0.47","2.13","2025-08-02 19:00:15"
"51","1","223","0.06","10","0.47","2.13","2025-08-02 19:00:45"
"52","1","225","0.06","10","0.47","2.13","2025-08-02 19:01:45"
"53","1","223","0.06","10","0.47","2.13","2025-08-02 19:02:15"
"54","1","223","0.06","10","0.47","2.13","2025-08-02 19:02:45"
"55","1","223","0.06","10","0.47","2.13","2025-08-02 19:03:15"
"56","1","223","0.07","10","0.47","2.13","2025-08-02 19:03:45"
"57","1","223","0.06","9","0.47","2.13","2025-08-02 19:04:15"
"58","1","223","0.06","10","0.47","2.13","2025-08-02 19:04:45"
"59","1","223","0.06","10","0.47","2.13","2025-08-02 19:05:45"
"60","1","223","0.06","10","0.47","2.14","2025-08-02 19:06:45"
"61","1","223","0.06","10","0.47","2.14","2025-08-02 19:07:15"
"62","1","223","0.06","9","0.47","2.14","2025-08-02 19:07:45"
"63","1","223","0.06","10","0.47","2.14","2025-08-02 19:08:15"
"64","1","223","0.06","10","0.47","2.14","2025-08-02 19:08:45"
"65","1","223","0.06","9","0.47","2.14","2025-08-02 19:09:15"
"66","1","222","0.06","9","0.47","2.14","2025-08-02 19:09:45"
"67","1","222","0.06","9","0.47","2.14","2025-08-02 19:10:15"
"68","1","223","0.06","10","0.47","2.14","2025-08-02 19:11:15"
"69","1","223","0.06","10","0.47","2.14","2025-08-02 19:11:45"
"70","1","223","0.06","9","0.47","2.14","2025-08-02 19:12:15"
"71","1","223","0.06","10","0.47","2.14","2025-08-02 19:13:15"
"72","1","222","0.07","10","0.48","2.14","2025-08-02 19:13:45"
"73","1","222","0.06","10","0.48","2.14","2025-08-02 19:14:45"
"74","1","222","0.06","9","0.48","2.14","2025-08-02 19:16:15"
"75","1","222","0.06","9","0.48","2.14","2025-08-02 19:16:45"
"76","1","222","0.06","10","0.48","2.14","2025-08-02 19:17:15"
"77","1","222","0.06","9","0.48","2.14","2025-08-02 19:17:45"
"78","1","222","0.06","10","0.48","2.14","2025-08-02 19:18:15"
"79","1","222","0.06","10","0.48","2.14","2025-08-02 19:18:45"
"80","1","222","0.06","10","0.48","2.15","2025-08-02 19:19:15"
"81","1","222","0.07","10","0.48","2.15","2025-08-02 19:19:45"
"82","1","222","0.06","9","0.48","2.15","2025-08-02 19:20:15"
"83","1","222","0.06","9","0.48","2.15","2025-08-02 19:21:15"
"84","1","223","0.06","9","0.48","2.15","2025-08-02 19:21:45"
"85","1","223","0.06","9","0.48","2.15","2025-08-02 19:22:15"
"86","1","223","0.06","9","0.48","2.15","2025-08-02 19:22:45"
"87","1","222","0.06","10","0.48","2.15","2025-08-02 19:23:15"
"88","1","223","0.06","9","0.48","2.15","2025-08-02 19:23:46"
"89","1","222","0.06","9","0.48","2.15","2025-08-02 19:24:16"
"90","1","222","0.06","10","0.48","2.15","2025-08-02 19:24:46"
"91","1","222","0.06","10","0.48","2.15","2025-08-02 19:25:16"
"92","1","223","0.06","9","0.48","2.15","2025-08-02 19:26:16"
"93","1","223","0.06","9","0.48","2.15","2025-08-02 19:26:46"
"94","1","223","0.06","9","0.48","2.15","2025-08-02 19:27:16"
"95","1","222","0.06","9","0.48","2.15","2025-08-02 19:27:46"
"96","1","223","0.06","10","0.48","2.15","2025-08-02 19:28:16"
"97","1","222","0.06","9","0.48","2.15","2025-08-02 19:28:46"
"98","1","222","0.06","9","0.48","2.15","2025-08-02 19:29:16"
"99","1","222","0.06","9","0.48","2.15","2025-08-02 19:29:46"
"100","1","222","0.06","10","0.48","2.15","2025-08-02 19:30:16"
"101","1","222","0.06","10","0.48","2.15","2025-08-02 19:31:16"
"102","1","222","0.06","9","0.48","2.16","2025-08-02 19:32:16"
"103","1","222","0.06","9","0.48","2.16","2025-08-02 19:32:46"
"104","1","222","0.06","9","0.48","2.16","2025-08-02 19:33:16"
"105","1","222","0.06","10","0.48","2.16","2025-08-02 19:33:46"
"106","1","222","0.06","10","0.48","2.16","2025-08-02 19:34:16"
"107","1","222","0.06","10","0.48","2.16","2025-08-02 19:35:46"
"108","1","221","0.06","9","0.48","2.16","2025-08-02 19:36:16"
"109","1","222","0.06","9","0.48","2.16","2025-08-02 19:36:46"
"110","1","222","0.06","9","0.48","2.16","2025-08-02 19:37:16"
"111","1","222","0.06","9","0.48","2.16","2025-08-02 19:37:46"
"112","1","222","0.06","10","0.48","2.16","2025-08-02 19:38:16"
"113","1","222","0.06","9","0.48","2.16","2025-08-02 19:38:46"
"114","1","222","0.06","10","0.48","2.16","2025-08-02 19:40:46"
"115","1","222","0.06","10","0.48","2.16","2025-08-02 19:41:16"
"116","1","222","0.06","10","0.48","2.16","2025-08-02 19:41:46"
"117","1","222","0.06","9","0.48","2.16","2025-08-02 19:42:16"
"118","1","222","0.06","9","0.48","2.16","2025-08-02 19:42:46"
"119","1","222","0.06","9","0.48","2.16","2025-08-02 19:43:16"
"120","1","222","0.06","9","0.48","2.16","2025-08-02 19:43:46"
"121","1","222","0.06","9","0.48","2.16","2025-08-02 19:44:16"
"122","1","222","0.06","9","0.48","2.16","2025-08-02 19:45:16"
"123","1","222","0.06","10","0.48","2.16","2025-08-02 19:45:46"
"124","1","222","0.06","9","0.48","2.16","2025-08-02 19:46:16"
"125","1","222","0.06","9","0.48","2.16","2025-08-02 19:46:46"
"126","1","222","0.06","10","0.48","2.16","2025-08-02 19:47:16"
"127","1","222","0.06","10","0.48","2.16","2025-08-02 19:47:46"
"128","1","222","0.06","9","0.48","2.16","2025-08-02 19:48:16"
"129","1","222","0.06","9","0.48","2.16","2025-08-02 19:49:46"
"130","1","221","0.06","9","0.48","2.16","2025-08-02 19:50:16"
"131","1","221","0.06","9","0.48","2.17","2025-08-02 19:50:46"
"132","1","221","0.06","9","0.48","2.17","2025-08-02 19:51:16"
"133","1","221","0.06","10","0.48","2.17","2025-08-02 19:51:46"
"134","1","221","0.06","9","0.48","2.17","2025-08-02 19:53:16"
"135","1","221","0.06","9","0.48","2.17","2025-08-02 19:53:46"
"136","1","221","0.06","9","0.48","2.17","2025-08-02 19:54:46"
"137","1","221","0.06","9","0.48","2.17","2025-08-02 19:55:16"
"138","1","221","0.06","9","0.48","2.17","2025-08-02 19:55:46"
"139","1","221","0.06","9","0.48","2.17","2025-08-02 19:56:16"
"140","1","221","0.06","9","0.48","2.17","2025-08-02 19:56:46"
"141","1","221","0.06","9","0.48","2.17","2025-08-02 19:57:16"
"142","1","221","0.06","9","0.48","2.17","2025-08-02 19:58:16"
"143","1","221","0.06","10","0.48","2.17","2025-08-02 19:58:46"
"144","1","221","0.06","9","0.48","2.17","2025-08-02 19:59:16"
